year,actor,movie,winner,ethnicity
2009,Michael Stuhlbarg,A Serious Man,False,"['Ashkenazi', 'Jewish']"
2010,Paul Giamatti,Barney's Version,True,"['Italian', 'German', 'English', 'Dutch', 'Irish', 'Scottish', 'French']"
2010,Johnny Depp,Alice in Wonderland,False,"['English', 'Irish', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'Welsh', 'French', 'FrenchCanadian', 'Dutch', 'Flemish', 'Belgian', 'German', 'African']"
2010,Johnny Depp,Alice in Wonderland,False,"['English', 'Irish', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'Welsh', 'French', 'FrenchCanadian', 'Dutch', 'Flemish', 'Belgian', 'German', 'African']"
2010,Jake Gyllenhaal,Love & Other Drugs,False,"['Swedish', 'English', 'SwissGerman', 'German', 'Scottish', 'Welsh', 'French', 'Ashkenazi', 'Jewish']"
2010,Kevin Spacey,Casino Jack,False,"['Swedish', 'English', 'Welsh']"
2011,Jean Dujardin,The Artist,True,['French']
2011,Brendan Gleeson,The Guard,False,['Irish']
2011,Joseph Gordon-Levitt,50/50,False,"['Ashkenazi', 'Jewish']"
2011,Ryan Gosling,"Crazy, Stupid, Love.",False,"['FrenchCanadian', 'English', 'Scottish', 'Irish', 'German', 'AfricanAmerican']"
2011,Owen Wilson,Midnight in Paris,False,['Irish']
2012,Hugh Jackman,Les Misérables,True,"['English25', 'Scottish125', 'Greek']"
2012,Jack Black,Bernie,False,"['German', 'Northern', 'Irish', 'Scottish', 'English', 'French', 'Welsh', 'Judaism', 'Ashkenazi', 'Jewish']"
2012,Bradley Cooper,Silver Linings Playbook,False,['Italian']
2012,Ewan McGregor,Salmon Fishing in the Yemen,False,"['Scottish', 'German']"
2012,Bill Murray,Hyde Park on Hudson,False,['Irish']
2013,Leonardo DiCaprio,The Wolf of Wall Street,True,"['German', 'German', 'Russian']"
2013,Christian Bale,American Hustle,False,"['English', 'Channel', 'Islander', 'Guernsey', 'German']"
2013,Bruce Dern,Nebraska,False,"['German', 'English', 'Scottish', 'ScotsIrishNorthern', 'Irish', 'Dutch', 'Welsh']"
2013,Oscar Isaac,Inside Llewyn Davis,False,"['Cuban', 'Guatemalan', 'French', 'Spanish']"
2013,Joaquin Phoenix,Her,False,"['English', 'Scottish', 'ScotsIrishNorthern', 'Irish', 'German', 'Irish', 'Welsh', 'French', 'Huguenot', 'Ashkenazi', 'Jewish']"
2014,Michael Keaton,Birdman,True,"['English', 'Scottish', 'ScotsIrishNorthern', 'Irish', 'Irish']"
2014,Ralph Fiennes,The Grand Budapest Hotel,False,"['English', 'Northern', 'Irish', 'Irish', 'Scottish']"
2014,Bill Murray,St. Vincent,False,['Irish']
2014,Joaquin Phoenix,Inherent Vice,False,"['English', 'Scottish', 'ScotsIrishNorthern', 'Irish', 'German', 'Irish', 'Welsh', 'French', 'Huguenot', 'Ashkenazi', 'Jewish']"
2014,Christoph Waltz,Big Eyes,False,"['German', 'Austrian', 'Slovenian']"
"2015[13]
",Matt Damon,The Martian,True,"['Scottish', 'Welsh', 'Finnish', 'Swedish', 'Norwegian']"
"2015[13]
",Christian Bale,The Big Short,False,"['English', 'Channel', 'Islander', 'Guernsey', 'German']"
"2015[13]
",Christian Bale,The Big Short,False,"['English', 'Channel', 'Islander', 'Guernsey', 'German']"
"2015[13]
",Al Pacino,Danny Collins,False,"['Italian', 'Sicilian', 'Neapolitan']"
"2015[13]
",Mark Ruffalo,Infinitely Polar Bear,False,"['Italian25', 'FrenchFrenchCanadian']"
2016,Ryan Gosling,La La Land,True,"['FrenchCanadian', 'English', 'Scottish', 'Irish', 'German', 'AfricanAmerican']"
2016,Colin Farrell,The Lobster,False,['Irish']
2016,Hugh Grant,Florence Foster Jenkins,False,"['Scottish', 'English', 'Irish', 'Welsh', 'Cornish', 'Dutch', 'AfrikanerFrenchBelgian', 'Walloon']"
2016,Jonah Hill,War Dogs,False,"['Ashkenazi', 'Jewish']"
2016,Ryan Reynolds,Deadpool,False,"['Irish', 'Scottish', 'Northern', 'Irish', 'Luxembourgish', 'English', 'Dutch']"
2017,"James Franco
",The Disaster Artist,True,[]
2017,Steve Carell,Battle of the Sexes,False,"['German', 'Polish']"
2017,Ansel Elgort,Baby Driver,False,"['Eastern', 'European', 'Ashkenazi', 'Jewish', 'Norwegian', 'English', 'ScotsIrishNorthern', 'Irish', 'German']"
2017,Hugh Jackman,The Greatest Showman,False,"['English25', 'Scottish125', 'Greek']"
2017,Daniel Kaluuya,Get Out,False,['Ugandan']
2018,Christian Bale,Vice,True,"['English', 'Channel', 'Islander', 'Guernsey', 'German']"
2018,Lin-Manuel Miranda,Mary Poppins Returns,False,"['Puerto', 'Rican', 'Spanish', 'Taíno', 'African', 'Mexican', 'AfricanAmerican', 'English']"
2018,Viggo Mortensen,Green Book,False,"['English', 'Scottish']"
2018,Robert Redford,The Old Man & the Gun,False,"['English', 'Irish', 'Scottish', 'Northern', 'IrishScotsIrish', 'Cornish']"
2018,John C. Reilly,Stan & Ollie,False,"['Lithuanian375', 'Irish625', 'German3125', 'FrenchCanadian3125', 'Scottish']"
2019,Taron Egerton,Rocketman,True,"['English', 'Welsh', 'Irish']"
2019,Daniel Craig,Knives Out,False,"['English', 'Welsh', 'Scottish', 'Irish', 'FrenchFrench', 'Huguenot']"
2019,Roman Griffin Davis,Jojo Rabbit,False,"['English', 'Irish', 'French']"
2019,Leonardo DiCaprio,Once Upon a Time in Hollywood,False,"['German', 'German', 'Russian']"
2019,Eddie Murphy,Dolemite Is My Name,False,['AfricanAmerican']
