Convention Girl,"['Rose Hobart', ' Weldon Heyburn']"
Coronado,"['Alice White', ' Johnny Downs', ' Eddy Duchin']"
The County Chairman,"['Will Rogers', ' Evelyn Venable']"
The Cowboy Millionaire,"[""George O'Brien"", ' Edgar Kennedy']"
Crime and Punishment,"['Peter Lorre', ' Edward Arnold', ' Marian Marsh']"
The Crime of Dr. Crespi,"['Erich von Stroheim', ' Dwight Frye']"
The Crimson Trail,"['Buck Jones', ' Polly Ann Young', ' Ward Bond']"
The Crusades,"['Loretta Young', ' Henry Wilcoxon', ' C. Aubrey Smith']"
Curly Top,"['Shirley Temple', ' John Boles', ' Rochelle Hudson']"
Danger Ahead,"['Lawrence Gray', ' Fuzzy Knight', ' Sheila Bromley']"
Dangerous,"['Bette Davis', ' Franchot Tone', ' Alison Skipworth']"
Dante's Inferno,"['Spencer Tracy', ' Henry B. Walthall', ' Rita Hayworth']"
The Daring Young Man,"['James Dunn', ' Mae Clarke', ' Neil Hamilton']"
The Dark Angel,"['Merle Oberon', ' Fredric March', ' Herbert Marshall']"
David Copperfield,"['Frank Lawton', ' Roland Young', "" Maureen O'Sullivan""]"
The Dawn Rider,"['John Wayne', ' Marion Burns']"
Death Flies East,"['Conrad Nagel', ' Florence Rice']"
Death from a Distance,"['Russell Hopton', ' Lola Lane']"
The Desert Trail,"['John Wayne', ' Mary Kornman']"
Devil Dogs of the Air,"['James Cagney', "" Pat O'Brien"", ' Margaret Lindsay']"
The Devil is a Woman,"['Marlene Dietrich', ' Lionel Atwill', ' Cesar Romero']"
Diamond Jim,"['Edward Arnold', ' Jean Arthur', ' Binnie Barnes']"
Dinky,"['Jackie Cooper', ' Mary Astor']"
Dizzy Dames,"['Marjorie Rambeau', ' Florine McKinney']"
A Dog of Flanders,"['Frankie Thomas', ' O. P. Heggie', ' Helen Parrish']"
Don't Bet on Blondes,"['Warren William', ' Claire Dodd']"
Doubting Thomas,"['Will Rogers', ' Billie Burke', ' Alison Skipworth']"
Dr. Socrates,"['Paul Muni', ' Ann Dvorak']"
Dressed to Thrill,"['Tutta Rolf', ' Clive Brook']"
The Eagle's Brood,"['William Boyd', ' James Ellison']"
East of Java,"['Charles Bickford', ' Elizabeth Young', ' Frank Albertson']"
Eight Bells,"['Ann Sothern', ' Ralph Bellamy', ' Catherine Doucet']"
Enchanted April,"['Ann Harding', ' Frank Morgan', ' Jane Baxter']"
Enter Madame,"['Cary Grant', ' Elissa Landi']"
Escapade,"['William Powell', ' Luise Rainer', ' Reginald Owen']"
Escape from Devil's Island,"['Victor Jory', ' Florence Rice']"
Every Night at Eight,"['George Raft', ' Alice Faye', ' Frances Langford']"
False Pretenses,"['Irene Ware', ' Sidney Blackmer']"
 The Farmer Takes a Wife,"['Henry Fonda', ' Janet Gaynor', ' Charles Bickford']"
A Feather in Her Hat,"['Pauline Lord', ' Basil Rathbone', ' Louis Hayward']"
Fighting Caballero,"['Rex Lease', ' Dorothy Gulliver']"
Fighting Lady,"['Peggy Shannon', ' Jack Mulhall']"
The Fighting Pilot,"['Richard Talmadge', ' Gertrude Messinger']"
Fighting Shadows,"['Tim McCoy', ' Geneva Mitchell']"
Fighting Youth,"['Charles Farrell', ' June Martel']"
The Flame Within,"[""Maureen O'Sullivan"", ' Ann Harding', ' Louis Heyward']"
The Florentine Dagger,"['Donald Woods', ' Margaret Lindsay']"
Folies Bergère de Paris,"['Maurice Chevalier', ' Merle Oberon', ' Ann Sothern']"
Forbidden Heaven,"['Charles Farrell', ' Charlotte Henry']"
Forced Landing,"['Esther Ralston', ' Onslow Stevens']"
Four Hours to Kill!,"['Richard Barthelmess', ' Roscoe Karns', ' Ray Milland']"
Freckles,"['Tom Brown', ' Virginia Weidler']"
Frisco Kid,"['James Cagney', ' Ricardo Cortez', ' Margaret Lindsay']"
Frisco Waterfront,"['Ben Lyon', ' Helen Twelvetrees']"
Front Page Woman,"['Bette Davis', ' George Brent', ' Roscoe Karns']"
G Men,"['James Cagney', ' Ann Dvorak', ' Edward Pawley']"
Gallant Defender,"['Charles Starrett', ' Joan Perry']"
The Gay Deception,"['Francis Lederer', ' Frances Dee']"
George White's 1935 Scandals,"['Alice Faye', ' Eleanor Powell']"
Gigolette,"['Adrienne Ames', ' Ralph Bellamy', ' Donald Cook', ' Robert Armstrong']"
The Gilded Lily,"['Claudette Colbert', ' Fred MacMurray', ' Ray Milland']"
Ginger,"['Jane Withers', ' O. P. Heggie']"
The Girl Friend,"['Ann Sothern', ' Jack Haley']"
The Girl from 10th Avenue,"['Bette Davis', ' Ian Hunter', ' Alison Skipworth']"
The Girl Who Came Back,"['Shirley Grey', ' Noel Madison']"
The Glass Key,"['George Raft', ' Edward Arnold', ' Claire Dodd']"
Go Into Your Dance,"['Al Jolson', ' Ruby Keeler', ' Glenda Farrell']"
Goin' to Town,"['Mae West', ' Paul Cavanagh', ' Gilbert Emery']"
Going Highbrow,"['Edward Everett Horton', ' ZaSu Pitts', ' Guy Kibbee']"
Gold Diggers of 1935,"['Dick Powell', ' Alice Brady', ' Hugh Herbert']"
The Good Fairy,"['Margaret Sullavan', ' Herbert Marshall', ' Frank Morgan']"
The Goose and the Gander,"['Kay Francis', ' George Brent']"
Grand Exit,"['Edmund Lowe', ' Ann Sothern']"
Grand Old Girl,"['May Robson', ' Fred MacMurray', ' Edward Van Sloan']"
Great God Gold,"['Sidney Blackmer', ' Martha Sleeper']"
The Great Hotel Murder,"['Edmund Lowe', ' Victor McLaglen', ' Rosemary Ames']"
The Great Impersonation,"['Edmund Lowe', ' Valerie Hobson']"
Guard That Girl,"['Florence Rice', ' Ward Bond']"
Hands Across the Table,"['Carole Lombard', ' Fred MacMurray', ' Ralph Bellamy']"
Happiness C.O.D.,"['Donald Meek', ' Irene Ware']"
Hard Rock Harrigan,"[""George O'Brien"", ' Irene Hervey']"
Harmony Lane,"['Douglass Montgomery', ' Evelyn Venable', ' Adrienne Ames']"
The Headline Woman,"['Roger Pryor', ' Heather Angel', ' Franklin Pangborn']"
The Healer,"['Ralph Bellamy', ' Judith Allen', ' Mickey Rooney']"
Heir to Trouble,"['Ken Maynard', ' Joan Perry']"
Here Comes Cookie,"['George Burns', ' Gracie Allen']"
Here Comes the Band,"['Ted Lewis', ' Virginia Bruce', ' Nat Pendleton']"
Here's to Romance,"['Nino Martini', ' Genevieve Tobin', ' Anita Louise']"
"Hi, Gaucho!","['John Carroll', ' Steffi Duna', ' Rod La Rocque', ' Montagu Love']"
His Family Tree,"['James Barton', ' Margaret Callahan']"
His Fighting Blood,"['Kermit Maynard', ' Polly Ann Young', ' Paul Fix']"
His Night Out,"['Edward Everett Horton', ' Irene Hervey']"
Hitch Hike Lady,"['Alison Skipworth', ' Mae Clarke']"
Hold 'Em Yale,"['Patricia Ellis', ' Cesar Romero']"
Home on the Range,"['Randolph Scott', ' Jackie Coogan', ' Evelyn Brent']"
Honeymoon Limited,"['Neil Hamilton', ' Irene Hervey']"
Hong Kong Nights,"['Tom Keene', ' Wera Engels']"
Hooray for Love,"['Ann Sothern', ' Gene Raymond']"
The Hoosier Schoolmaster,"['Norman Foster', ' Charlotte Henry']"
Hop-Along Cassidy,"['William Boyd', ' James Ellison', ' Paula Stone']"
Hot Off the Press,"['Jack La Rue', ' Monte Blue']"
Hot Tip,"['ZaSu Pitts', ' James Gleason', ' Margaret Callahan', ' Russell Gleason']"
I Dream Too Much,"['Henry Fonda', ' Lily Pons', ' Lucille Ball']"
I Found Stella Parish,"['Kay Francis', ' Ian Hunter', ' Paul Lukas']"
I Live for Love,"['Dolores del Río', ' Everett Marshall', ' Don Alvarado']"
I Live My Life,"['Joan Crawford', ' Brian Aherne']"
I'll Love You Always,"['Nancy Carroll', ' George Murphy']"
I've Been Around,"['Chester Morris', ' Rochelle Hudson']"
If You Could Only Cook,"['Herbert Marshall', ' Jean Arthur']"
The Imperfect Lady,"['Frank Morgan', ' Cicely Courtneidge']"
In Caliente,"['Dolores del Río', "" Pat O'Brien"", ' Edward Everett Horton']"
In Old Kentucky,"['Will Rogers', ' Dorothy Wilson', ' Charles Sellon']"
In Person,"['Ginger Rogers', ' George Brent', ' Alan Mowbray']"
In Spite of Danger,"['Wallace Ford', ' Marian Marsh']"
The Informer,"['Victor McLaglen', ' Preston Foster', ' Donald Meek']"
The Irish in Us,"['James Cagney', "" Pat O'Brien"", ' Olivia de Havilland']"
It Happened in New York,"['Gertrude Michael', ' Heather Angel', ' Lyle Talbot']"
It's a Great Life,"['Joe Morrison', ' Paul Kelly']"
It's a Small World,"['Spencer Tracy', ' Wendy Barrie', ' Raymond Walburn']"
It's in the Air,"['Jack Benny', ' Una Merkel', ' Mary Carlisle']"
The Ivory-Handled Gun,"['Buck Jones', ' Walter Miller']"
Jalna,"['Kay Johnson', ' Ian Hunter', ' C. Aubrey Smith']"
The Judgement Book,"['Conway Tearle', ' Bernadene Hayes']"
Justice of the Range,"['Ward Bond', ' Gabby Hayes', ' Tim McCoy']"
The Keeper of the Bees,"['Neil Hamilton', ' Betty Furness']"
Kind Lady,"['Aline MacMahon', ' Basil Rathbone']"
King Solomon of Broadway,"['Edmund Lowe', ' Dorothy Page']"
Laddie,"['John Beal', ' Gloria Stuart', ' Virginia Weidler']"
Ladies Crave Excitement,"['Norman Foster', ' Esther Ralston']"
Ladies Love Danger,"['Mona Barrie', ' Gilbert Roland']"
The Lady in Scarlet,"['Reginald Denny', ' Patricia Farr', ' Jamison Thomas']"
Lady Tubbs,"['Alice Brady', ' Douglass Montgomery', ' Anita Louise']"
The Laramie Kid,"['Tom Tyler', ' Alberta Vaughn']"
The Last Days of Pompeii,"['Preston Foster', ' Basil Rathbone', ' Alan Hale']"
Last of the Pagans,"['Ray Mala', ' Lotus Long']"
The Last Outpost,"['Cary Grant', ' Claude Rains', ' Kathleen Burke']"
Law Beyond the Range,"['Tim McCoy', ' Billie Seward']"
Lawless Range,"['John Wayne', ' Sheila Bromley']"
Lawless Riders,"['Ken Maynard', ' Geneva Mitchell']"
Let 'Em Have It,"['Richard Arlen', ' Virginia Bruce']"
Let's Live Tonight,"['Lilian Harvey', ' Tullio Carminati', ' Hugh Williams']"
Life Begins at 40,"['Will Rogers', ' Rochelle Hudson', ' George Barbier']"
Life Returns,"['Onslow Stevens', ' Lois Wilson']"
Little Big Shot,"['Robert Armstrong', ' Sybil Jason', ' Ward Bond']"
The Little Colonel,"['Shirley Temple', ' Lionel Barrymore', ' Hattie McDaniel']"
The Littlest Rebel,"['Shirley Temple', ' John Boles', ' Jack Holt']"
The Lives of a Bengal Lancer,"['Gary Cooper', ' Franchot Tone', ' Richard Cromwell']"
The Live Wire,"['Richard Talmadge', ' Alberta Vaughn']"
Living on Velvet,"['George Brent', ' Kay Francis', "" Henry O'Neill""]"
The Lone Wolf Returns,"['Melvyn Douglas', ' Gail Patrick']"
Lottery Lover,"['Lew Ayres', ' Pat Paterson']"
Love in Bloom,"['George Burns', ' Gracie Allen', ' Dixie Lee']"
Love Me Forever,"['Grace Moore', ' Leo Carrillo', ' Spring Byington']"
Mad Love,"['Peter Lorre', ' Frances Drake', ' Colin Clive']"
Magnificent Obsession,"['Robert Taylor', ' Irene Dunne', ' Ralph Morgan']"
Make a Million,"['Charles Starrett', ' Pauline Brooks', ' James Burke']"
Man of Iron,"['Barton MacLane', ' Mary Astor']"
Man on the Flying Trapeze,"['W. C. Fields', ' Kathleen Howard', ' Mary Brian']"
The Man Who Broke the Bank at Monte Carlo,"['Ronald Colman', ' Joan Bennett', ' Colin Clive']"
Manhattan Moon,"['Ricardo Cortez', ' Dorothy Page', "" Hugh O'Connell""]"
Mark of the Vampire,"['Bela Lugosi', ' Lionel Barrymore', ' Elizabeth Allan']"
"Mary Burns, Fugitive","['Sylvia Sidney', ' Melvyn Douglas']"
Mary Jane's Pa,"['Aline MacMahon', ' Guy Kibbee']"
Maybe It's Love,"['Gloria Stuart', ' Ross Alexander', ' Ruth Donnelly']"
McFadden's Flats,"['Walter C. Kelly', ' Andy Clyde']"
The Melody Lingers On,"['Josephine Hutchinson', ' Mona Barrie']"
Melody Trail,"['Gene Autry', ' Ann Rutherford']"
Men of Action,"['Frankie Darro', ' Edwin Maxwell', ' Fred Kohler']"
Men of the Hour,"['Richard Cromwell', ' Billie Seward', ' Wallace Ford']"
Men Without Names,"['Fred MacMurray', ' Madge Evans', ' J. C. Nugent']"
Metropolitan,"['Lawrence Tibbett', ' Alice Brady', ' Virginia Bruce']"
Midnight Phantom,"['Reginald Denny', ' Claudia Dell', ' Lloyd Hughes']"
A Midsummer Night's Dream,"['Olivia de Havilland', ' James Cagney', ' Mickey Rooney']"
Millions in the Air,"['John Howard', ' Wendy Barrie']"
Les Misérables,"['Charles Laughton', ' Fredric March', ' Rochelle Hudson']"
Miss Pacific Fleet,"['Joan Blondell', ' Glenda Farrell', ' Hugh Herbert']"
Mississippi,"['Bing Crosby', ' Joan Bennett', ' W. C. Fields']"
Mister Dynamite,"['Edmund Lowe', ' Matt McHugh', ' Esther Ralston']"
Moonlight on the Prairie,"['Dick Foran', ' Sheila Bromley', ' George E. Stone']"
Motive for Revenge,"['Donald Cook', ' Irene Hervey', ' Doris Lloyd']"
Murder by Television,"['Bela Lugosi', ' June Collyer']"
Murder in Harlem,"['Clarence Brooks', ' Dorothy Van Engle', ' Alice B. Russell']"
Murder in the Fleet,"['Robert Taylor', ' Arthur Byron', ' Una Merkel']"
The Murder Man,"['Spencer Tracy', ' Virginia Bruce', ' William Demarest']"
Murder on a Honeymoon,"['Edna May Oliver', ' Leo G. Carroll', ' Lola Lane']"
