365 Nights in Hollywood,"['Alice Faye', ' Grant Mitchell', ' James Dunn']"
6 Day Bike Rider,"['Joe E. Brown', ' Maxine Doyle', ' Frank McHugh']"
Adventures of Texas Jack,"['Hal Taliaferro', ' Jay Wilsey', ' Victoria Vinton']"
The Affairs of Cellini,"['Constance Bennett', ' Fredric March', ' Fay Wray']"
Affairs of a Gentleman,"['Paul Lukas', ' Leila Hyams', ' Patricia Ellis']"
Against the Law,"['Johnny Mack Brown', ' Sally Blane']"
The Age of Innocence,"['Irene Dunne', ' John Boles', ' Helen Westley']"
All Men Are Enemies,"['Helen Twelvetrees', ' Mona Barrie', ' Hugh Williams']"
All of Me,"['Fredric March', ' George Raft', ' Miriam Hopkins']"
Among the Missing,"['Richard Cromwell', ' Billie Seward']"
Anne of Green Gables,"['Anne Shirley', ' Helen Westley', ' O. P. Heggie']"
Are We Civilized?,"['Frank McGlynn', ' William Farnum', ' Anita Louise']"
As Husbands Go,"['Warner Baxter', ' Helen Vinson']"
As the Earth Turns,"['Donald Woods', ' Jean Muir', ' Dorothy Peterson']"
Babbitt,"['Aline MacMahon', ' Guy Kibbee']"
Babes in Toyland,"['Stan Laurel', ' Oliver Hardy', ' Charlotte Henry']"
Baby Take a Bow,"['Shirley Temple', ' Claire Trevor', ' James Dunn']"
Bachelor Bait,"['Stuart Erwin', ' Rochelle Hudson', ' Grady Sutton']"
Bachelor of Arts,"['Anita Louise', ' Mae Marsh']"
The Band Plays On,"['Robert Young', ' Stuart Erwin']"
The Barrets of Wimpole Street,"['Norma Shearer', ' Fredric March', ' Charles Laughton']"
The Beast of Borneo,"['Eugene Sigaloff', ' Mae Stuart', '']"
Bedside,"['Warren William', ' Jean Muir', ' Allen Jenkins']"
Beggars in Ermine,"['Lionel Atwill', ' Jameson Thomas', ' Betty Furness']"
Behold My Wife!,"['Sylvia Sidney', ' Ann Sheridan', ' H. B. Warner']"
Belle of the Nineties,"['Mae West', ' Johnny Mack Brown', ' Katherine DeMille']"
Beloved,"['John Boles', ' Gloria Stuart', ' Morgan Farley']"
Beyond the Law,"['Tim McCoy', ' Shirley Grey']"
The Big Shakedown,"['Bette Davis', ' Ricardo Cortez', ' Allen Jenkins']"
The Black Cat,"['Boris Karloff', ' Bela Lugosi', ' David Manners']"
Black Moon,"['Fay Wray', ' Dorothy Burgess', ' Jack Holt']"
Blind Date,"['Ann Sothern', ' Neil Hamilton', ' Paul Kelly']"
Blue Steel,"['John Wayne', ' Eleanor Hunt']"
Bolero,"['George Raft', ' Carole Lombard', ' Sally Rand']"
Bombay Mail,"['Edmund Lowe', ' Ralph Forbes', ' Shirley Grey']"
The Border Menace,"['Bill Cody', ' George Chesebro']"
Border Guns,"['Bill Cody', ' Blanche Mehaffey']"
Born to be Bad,"['Loretta Young', ' Cary Grant', ' Marion Burns']"
Boss Cowboy,"['Buddy Roosevelt', ' Frances Morris']"
Bottoms Up,"['Spencer Tracy', ' John Boles', ' Pat Paterson']"
Bright Eyes,"['Shirley Temple', ' James Dunn', ' Lois Wilson']"
British Agent,"['Leslie Howard', ' Kay Francis', ' Cesar Romero']"
Broadway Bill,"['Myrna Loy', ' Warner Baxter', ' Walter Connolly']"
Bulldog Drummond Strikes Back,"['Ronald Colman', ' Loretta Young', ' Charles Butterworth']"
By Your Leave,"['Frank Morgan', ' Genevieve Tobin', ' Neil Hamilton']"
Call It Luck,"['Pat Paterson', ' Herbert Mundin']"
The Captain Hates the Sea,"['Victor McLaglen', ' Alison Skipworth', ' John Gilbert']"
Caravan,"['Charles Boyer', ' Loretta Young', ' Jean Parker']"
Carolina,"['Janet Gaynor', ' Lionel Barrymore', ' Henrietta Crosman']"
The Case of the Howling Dog,"['Warren William', ' Mary Astor']"
The Cat and the Fiddle,"['Ramon Novarro', ' Jeanette MacDonald']"
The Cat's-Paw,"['Harold Lloyd', ' Una Merkel']"
Chained,"['Joan Crawford', ' Clark Gable', ' Otto Kruger']"
Change of Heart,"['Janet Gaynor', ' James Dunn', ' Ginger Rogers']"
Charlie Chan in London,"['Warner Oland', ' Mona Barrie', ' Ray Milland']"
Charlie Chan's Courage,"['Warner Oland', ' Drue Leyton', ' Donald Woods']"
Cheaters,"['William Boyd', ' June Collyer']"
Cheating Cheaters,"['Fay Wray', ' Cesar Romero']"
The Circus Clown,"['Joe E. Brown', ' Patricia Ellis']"
