Charlie Chan in Egypt,"['Warner Oland', ' Rita Hayworth', ' Pat Paterson']","['Mystery', ' Comedy']"
Charlie Chan in Paris,"['Warner Oland', ' Mary Brian']","['Mystery', ' Comedy']"
Charlie Chan in Shanghai,"['Warner Oland', ' Irene Hervey', ' Jon Hall']","['Mystery', ' comedy']"
Chasing Yesterday,"['Anne Shirley', ' O. P. Heggie', ' Helen Westley']",['Drama']
Cheers of the Crowd,"['Russell Hopton', ' Irene Ware']",['Drama']
China Seas,"['Clark Gable', ' Jean Harlow', ' Wallace Beery']",['Adventure']
Chinatown Squad,"['Lyle Talbot', ' Valerie Hobson']",['Crime']
Circumstantial Evidence,"['Chick Chandler', ' Shirley Grey', ' Claude King']","['Drama', ' Crime']"
Clive of India,"['Ronald Colman', ' Loretta Young', ' Colin Clive']",['Historical']
College Scandal,"['Arline Judge', ' Kent Taylor', ' Wendy Barrie']",['Comedy']
Collegiate,"['Jack Oakie', ' Frances Langford', ' Betty Grable']",['Comedy']
Condemned to Live,"['Ralph Morgan', ' Maxine Doyle', ' Russell Gleason']","['Mystery', ' Horror']"
Confidential,"['Donald Cook', ' Evalyn Knapp']",['Crime']
Convention Girl,"['Rose Hobart', ' Weldon Heyburn']",['Comedy']
Coronado,"['Alice White', ' Johnny Downs', ' Eddy Duchin']",['Musical']
The County Chairman,"['Will Rogers', ' Evelyn Venable']",['Comedy']
The Cowboy Millionaire,"[""George O'Brien"", ' Edgar Kennedy']",['Western']
Crime and Punishment,"['Peter Lorre', ' Edward Arnold', ' Marian Marsh']","['Drama', ' Crime']"
The Crime of Dr. Crespi,"['Erich von Stroheim', ' Dwight Frye']",['Horror']
The Crimson Trail,"['Buck Jones', ' Polly Ann Young', ' Ward Bond']",['Western']
The Crusades,"['Loretta Young', ' Henry Wilcoxon', ' C. Aubrey Smith']","['Drama', ' Adventure']"
Curly Top,"['Shirley Temple', ' John Boles', ' Rochelle Hudson']",['Musical']
Danger Ahead,"['Lawrence Gray', ' Fuzzy Knight', ' Sheila Bromley']","['Drama', ' Crime']"
Dangerous,"['Bette Davis', ' Franchot Tone', ' Alison Skipworth']",['Drama']
Dante's Inferno,"['Spencer Tracy', ' Henry B. Walthall', ' Rita Hayworth']",['Drama']
The Daring Young Man,"['James Dunn', ' Mae Clarke', ' Neil Hamilton']",['Comedy']
The Dark Angel,"['Merle Oberon', ' Fredric March', ' Herbert Marshall']","['Drama', ' Romance']"
David Copperfield,"['Frank Lawton', ' Roland Young', "" Maureen O'Sullivan""]","['Drama', ' Romance']"
The Dawn Rider,"['John Wayne', ' Marion Burns']",['Western']
Death Flies East,"['Conrad Nagel', ' Florence Rice']",['Mystery']
Death from a Distance,"['Russell Hopton', ' Lola Lane']",['Mystery']
The Desert Trail,"['John Wayne', ' Mary Kornman']",['Western']
Devil Dogs of the Air,"['James Cagney', "" Pat O'Brien"", ' Margaret Lindsay']","['Comedy', ' Drama']"
The Devil is a Woman,"['Marlene Dietrich', ' Lionel Atwill', ' Cesar Romero']","['Comedy', ' Drama']"
Diamond Jim,"['Edward Arnold', ' Jean Arthur', ' Binnie Barnes']",['Biopic']
Dinky,"['Jackie Cooper', ' Mary Astor']",['Drama']
Dizzy Dames,"['Marjorie Rambeau', ' Florine McKinney']",['Comedy']
A Dog of Flanders,"['Frankie Thomas', ' O. P. Heggie', ' Helen Parrish']",['Drama']
Don't Bet on Blondes,"['Warren William', ' Claire Dodd']",['Comedy']
Doubting Thomas,"['Will Rogers', ' Billie Burke', ' Alison Skipworth']",['Comedy']
Dr. Socrates,"['Paul Muni', ' Ann Dvorak']",['Crime']
Dressed to Thrill,"['Tutta Rolf', ' Clive Brook']",['Musical']
G Men,"['James Cagney', ' Ann Dvorak', ' Edward Pawley']","['Drama', ' Crime']"
Gallant Defender,"['Charles Starrett', ' Joan Perry']",['Western']
The Gay Deception,"['Francis Lederer', ' Frances Dee']",['Romantic comedy']
George White's 1935 Scandals,"['Alice Faye', ' Eleanor Powell']",['Musical']
Gigolette,"['Adrienne Ames', ' Ralph Bellamy', ' Donald Cook', ' Robert Armstrong']",['Romance']
The Gilded Lily,"['Claudette Colbert', ' Fred MacMurray', ' Ray Milland']","['Comedy', ' Romance']"
Ginger,"['Jane Withers', ' O. P. Heggie']",['Comedy']
The Girl Friend,"['Ann Sothern', ' Jack Haley']",['Comedy']
The Girl from 10th Avenue,"['Bette Davis', ' Ian Hunter', ' Alison Skipworth']",['Drama']
